"dtime_local per 10 minutes","95th percentile of rtt_max"
1688629200000,83.44640499999998
1688629800000,85.07250499999999
1688630400000,84.63200499999998
1688631000000,85.32967999999998
1688631600000,85.43270499999998
1688632200000,84.65862499999997
1688632800000,87.13471999999993
1688633400000,87.55003999999994
1688634000000,86.09702999999995
1688634600000,86.74311999999993
1688635200000,87.75888999999994
1688635800000,89.75223999999993
1688636400000,91.98643999999993
1688637000000,92.61048499999993
1688637600000,92.44332499999993
1688638200000,93.15594499999992
1688638800000,94.06451999999996
1688639400000,96.13291999999996
1688640000000,98.54441999999996
1688640600000,99.34027999999995
1688641200000,98.77925499999998
1688641800000,97.33510499999998
1688642400000,96.75650499999998
1688643000000,97.52911999999998
1688643600000,100.88715499999998
1688644200000,100.927415
1688644800000,98.807165
1688645400000,98.417715
1688646000000,98.54001999999997
1688646600000,96.72121999999997
1688647200000,99.28299999999996
1688647800000,98.48440499999995
1688648400000,98.93338499999996
1688649000000,101.56282999999996
1688649600000,100.93804999999995
1688650200000,100.37676999999995
1688650800000,102.85039999999994
1688651400000,101.99216999999993
1688652000000,101.11258999999994
1688652600000,103.00484499999995
1688653200000,102.92297999999995
1688653800000,103.59894499999992
1688654400000,104.42209499999994
1688655000000,100.71019499999994
1688655600000,100.10102499999994
1688656200000,100.32774999999994
1688656800000,100.52997499999995
1688657400000,100.61982499999995
1688658000000,102.21955999999996
1688658600000,101.32276999999996
1688659200000,101.14285999999996
1688659800000,101.47238499999995
1688660400000,102.10425499999994
1688661000000,103.53117999999994
1688661600000,105.80740999999992
1688662200000,105.44537499999993
1688662800000,104.37986999999993
1688663400000,105.21849999999992
1688664000000,102.89983999999994
1688664600000,104.43368999999993
1688665200000,105.50622999999993
1688665800000,104.92270999999994
1688666400000,102.93534999999996
1688667000000,102.51570499999995
1688667600000,99.21037499999997
1688668200000,100.59253499999998
1688668800000,102.33934499999998
1688669400000,101.16949499999998
1688670000000,101.12023499999998
1688670600000,102.02937499999997
1688671200000,100.60209499999998
1688671800000,102.40259999999995
1688672400000,107.17545999999993
1688673000000,106.60459499999995
1688673600000,107.82384499999995
1688674200000,111.54817499999996
1688674800000,109.49181499999995
1688675400000,112.45226999999993
1688676000000,116.78742999999993
1688676600000,115.56898499999994
1688677200000,116.39328499999995
1688677800000,115.74397999999995
1688678400000,113.03525999999997
1688679000000,114.74628499999996
1688679600000,116.60844499999995
1688680200000,112.69389499999994
1688680800000,113.25857499999992
1688681400000,114.71081999999996
1688682000000,112.46486999999996
1688682600000,112.73655499999997
1688683200000,112.85507499999999
1688683800000,113.23371999999998
1688684400000,113.02504999999996
1688685000000,114.33360999999994
1688685600000,113.41324999999993
1688686200000,113.36497999999993
1688686800000,114.37232999999996
1688687400000,109.25835999999995
1688688000000,108.70019999999995
1688688600000,109.75585499999995
1688689200000,108.31727499999995
1688689800000,106.58610499999993
1688690400000,106.45290499999996
1688691000000,102.67375999999996
1688691600000,99.92590999999999
1688692200000,97.92778999999997
1688692800000,95.77416999999998
1688693400000,96.40216999999998
1688694000000,95.67661499999997
1688694600000,91.90082999999998
1688695200000,90.64312999999997
1688695800000,91.31466999999996
1688696400000,89.25303999999998
1688697000000,89.41134499999997
1688697600000,90.19825999999996
1688698200000,89.70735999999997
1688698800000,88.27782499999996
1688699400000,87.89006999999995
1688700000000,87.06709999999995
1688700600000,87.95237499999998
1688701200000,87.38207499999997
1688701800000,85.11443499999997
1688702400000,84.18483499999999
1688703000000,83.39967
1688703600000,82.76541499999998
1688704200000,83.06335999999999
1688704800000,83.48645499999999
1688705400000,82.65106999999998
1688706000000,80.737155
1688706600000,80.31384
1688707200000,81.3471
1688707800000,82.56184999999998
1688708400000,82.67553499999995
1688709000000,82.21220999999994
1688709600000,81.58546499999996
1688710200000,81.48199499999997
1688710800000,81.75388499999997
1688711400000,82.36302499999995
1688712000000,84.15724499999995
1688712600000,83.26098499999996
1688713200000,82.52485499999995
1688713800000,82.40735499999998
1688714400000,86.05736999999998
1688715000000,89.28247999999998
1688715600000,92.26649499999996
1688716200000,93.02098999999995
1688716800000,93.51553499999994
1688717400000,95.82927999999997
1688718000000,96.39333499999995
1688718600000,98.78762499999995
1688719200000,100.26569499999997
1688719800000,101.91263499999997
1688720400000,99.38941499999997
