"Top 3 values of operator_technology","dtime per 30 days",Percentage
Fiber,"2020-11-04","71.76%"
Fiber,"2020-12-04","70.34%"
Fiber,"2021-01-03","68.40%"
Fiber,"2021-02-02","70.05%"
Fiber,"2021-03-04","69.49%"
Fiber,"2021-04-03","67.61%"
Fiber,"2021-05-03","73.14%"
Fiber,"2021-06-02","82.39%"
Fiber,"2021-07-02","83.00%"
Fiber,"2021-08-01","83.57%"
Fiber,"2021-08-31","83.34%"
Fiber,"2021-09-30","83.05%"
Fiber,"2021-10-30","83.62%"
Fiber,"2021-11-29","84.67%"
Fiber,"2021-12-29","84.53%"
Fiber,"2022-01-28","83.95%"
Fiber,"2022-02-27","83.74%"
Fiber,"2022-03-29","84.10%"
Fiber,"2022-04-28","83.84%"
Fiber,"2022-05-28","83.26%"
Fiber,"2022-06-27","83.67%"
Fiber,"2022-07-27","83.69%"
Fiber,"2022-08-26","83.81%"
Fiber,"2022-09-25",null
Fiber,"2022-10-25","83.72%"
Fiber,"2022-11-24","84.37%"
Fiber,"2022-12-24","85.02%"
Fiber,"2023-01-23","85.10%"
Fiber,"2023-02-22","85.67%"
Fiber,"2023-03-24","87.60%"
Fiber,"2023-04-23","87.52%"
Fiber,"2023-05-23","85.72%"
Fiber,"2023-06-22","85.34%"
Fiber,"2023-07-22","86.21%"
