"Top 3 values of operator_technology","time per 30 days","Latency"
Fiber,"2021-05-03","238.333"
Fiber,"2021-06-02","222.507"
Fiber,"2021-07-02","214.308"
Fiber,"2021-08-01","218.913"
Fiber,"2021-08-31","217.54"
Fiber,"2021-09-30","246.026"
Fiber,"2021-10-30","253.961"
Fiber,"2021-11-29","243.566"
Fiber,"2021-12-29","264.335"
Fiber,"2022-01-28","254.956"
Fiber,"2022-02-27","280.036"
Fiber,"2022-03-29","283.458"
Fiber,"2022-04-28","278.308"
Fiber,"2022-05-28","270.165"
Fiber,"2022-06-27","250.356"
Fiber,"2022-07-27","238.097"
Fiber,"2022-08-26","218.29"
Fiber,"2022-10-25","254.589"
Fiber,"2022-11-24","229.073"
Fiber,"2022-12-24","241.933"
Fiber,"2023-01-23","276.09"
Fiber,"2023-02-22","269.693"
Fiber,"2023-03-24","216.603"
Fiber,"2023-04-23","196.146"
Fiber,"2023-05-23","223.914"
Fiber,"2023-06-22","243.406"
Fiber,"2023-07-22","213.424"
