"dtime_local per 10 minutes","Average of rtt_max"
1688503800000,35.39554717566467
1688504400000,35.988537953114644
1688505000000,35.49722303471827
1688505600000,35.68926448719369
1688506200000,36.10190349882318
1688506800000,35.56488668261072
1688507400000,35.38898199701536
1688508000000,35.714290744449656
1688508600000,35.50446439402951
1688509200000,35.96515683763148
1688509800000,36.74051177037317
1688510400000,36.22986272444528
1688511000000,36.28955199432138
1688511600000,36.675128117603535
1688512200000,36.379072588886075
1688512800000,36.59730747338124
1688513400000,37.09256390195267
1688514000000,36.49281928626006
1688514600000,36.50276558204267
1688515200000,36.29392164386215
1688515800000,35.70458931702063
1688516400000,35.92496004911193
1688517000000,36.19873072468414
1688517600000,35.60668024024054
1688518200000,35.26698321637641
1688518800000,35.26962956107109
1688519400000,34.77447768794421
1688520000000,34.672427130449606
1688520600000,34.795817119173954
1688521200000,34.31995817494126
1688521800000,33.95569613242138
1688522400000,33.695426843298456
1688523000000,33.29389505613493
1688523600000,32.99954423536957
1688524200000,33.1635292228424
1688524800000,32.54568550442443
1688525400000,32.05905615348492
1688526000000,32.14947817995548
1688526600000,31.735168692156737
1688527200000,31.67657650860131
1688527800000,31.895038699661054
1688528400000,31.431679481109498
1688529000000,30.796904089351283
1688529600000,30.915975657488605
1688530200000,30.805306621557644
1688530800000,30.88875601383077
1688531400000,31.30060540862887
1688532000000,30.887352091901754
1688532600000,30.600780010541026
1688533200000,30.808697508243924
1688533800000,30.67891955959304
1688534400000,30.8379729788122
1688535000000,31.307590774898156
1688535600000,31.211948111752786
1688536200000,30.83181222943561
1688536800000,31.095977093525853
1688537400000,31.102107275507326
1688538000000,31.32830647375322
1688538600000,31.994791136499995
1688539200000,31.707251467619965
1688539800000,31.3576215978177
1688540400000,31.580648382514703
1688541000000,31.659571060474885
1688541600000,31.7233401042816
1688542200000,32.37371551680697
1688542800000,31.952407154499678
1688543400000,31.790385828128947
1688544000000,32.030115215851595
1688544600000,31.897697574065347
1688545200000,32.026689063685396
1688545800000,32.78501812429527
1688546400000,32.527494951289356
1688547000000,32.262944727588604
1688547600000,32.50783304683766
1688548200000,32.18869674099722
1688548800000,32.45527672415556
1688549400000,33.18027352593811
1688550000000,32.97983244328783
1688550600000,32.56063056344821
1688551200000,32.86093230848982
1688551800000,32.57011680519648
1688552400000,32.921576883864894
1688553000000,33.53457133884875
1688553600000,33.504658033763995
1688554200000,33.25644621700771
1688554800000,33.52856982791665
1688555400000,33.00990655971306
1688556000000,33.23782939406806
1688556600000,33.86125231614795
1688557200000,33.681780318791894
1688557800000,33.52235222983765
1688558400000,33.53706679822553
1688559000000,33.25156411241526
1688559600000,33.26776852417997
1688560200000,33.96846351196783
1688560800000,33.90842547382411
1688561400000,33.731512258592076
1688562000000,33.81953987717683
1688562600000,33.44743765352827
1688563200000,33.53667763970073
1688563800000,33.868229147000505
1688564400000,33.78734148700475
1688565000000,33.50945689528744
1688565600000,33.70717981260204
1688566200000,33.40839127029126
1688566800000,33.388530972352356
1688567400000,33.96538918081769
1688568000000,33.95717578300668
1688568600000,33.87030850237135
1688569200000,34.14490688612888
1688569800000,34.158037737379644
1688570400000,34.254929537142814
1688571000000,34.949551574127035
1688571600000,34.93225157838107
1688572200000,34.98420960564076
1688572800000,35.29738923160394
1688573400000,35.154831856586874
1688574000000,35.14950046128507
1688574600000,35.887369043788965
1688575200000,35.92459359275845
1688575800000,35.75571750158512
1688576400000,35.98602171002589
1688577000000,35.88822798254401
1688577600000,35.96271457810767
1688578200000,36.37591160248498
1688578800000,36.25710558382774
1688579400000,36.25855827089956
1688580000000,36.41099460654688
1688580600000,36.215838357467774
1688581200000,35.951458078963235
1688581800000,36.36355041642715
1688582400000,36.19835329076409
1688583000000,36.02100545612587
1688583600000,36.23717586758798
1688584200000,35.91132702682449
1688584800000,36.29997487807287
1688585400000,36.41478996806204
1688586000000,36.589962633136594
1688586600000,36.30576646788239
1688587200000,36.489259308506306
1688587800000,36.36878684711634
1688588400000,36.73197734004445
1688589000000,37.33015286310904
1688589600000,37.277871261603444
1688590200000,37.16132609671949
1688590800000,36.84254077529493
1688591400000,36.79273053758507
1688592000000,36.9848063995944
1688592600000,37.70166383292105
1688593200000,38.09095144926968
1688593800000,37.94196640995882
1688594400000,37.84503779736431
1688595000000,37.40571635244569
1688595600000,37.57213058096262
1688596200000,38.0483739184419
1688596800000,38.52654146332963
1688597400000,38.38740006756404
1688598000000,38.24835263523192
1688598600000,37.799932344066605
1688599200000,37.63821005950776
1688599800000,37.68452921436948
1688600400000,37.47628806584817
1688601000000,37.19121178429767
1688601600000,36.87758723940784
1688602200000,36.532205383263616
1688602800000,36.175997831115566
1688603400000,36.09437020750559
