Unit ID,ISP,Download,Upload,Technology,State,Region,Days,timezone_offset,timezone_offset_dst
7064,Charter,15,3,CABLE,VA,SOUTH,30,-5,-4
7065,Windstream,12,0.768,DSL,NC,SOUTH,23,-5,-4
7066,Comcast,25,4,CABLE,IN,MIDWEST,30,-5,-5
7067,Mediacom,12,1,CABLE,IA,MIDWEST,28,-6,-5
7070,AT&T,6,0.768,DSL,CA,WEST,30,-8,-7
7071,Qwest,20,0.896,DSL,CO,WEST,30,-7,-6
7073,TimeWarner,10,1,CABLE,HI,WEST,27,-10,-10
7074,Frontier,3,0.384,DSL,WV,SOUTH,30,-5,-4
7075,Qwest,1.5,0.896,DSL,IA,MIDWEST,30,-6,-5
7076,Cox,24,5,CABLE,ct,NORTHEAST,30,-5,-4
7078,AT&T,6,0.768,DSL,TX,SOUTH,30,-6,-5
7079,Qwest,12,0.896,DSL,IA,MIDWEST,30,-6,-5
7080,CenturyLink,1.5,0.512,DSL,NM,WEST,29,-7,-6
7081,Charter,30,4,CABLE,OR,WEST,30,-8,-7
7083,AT&T,3,0.512,DSL,IL,MIDWEST,30,-6,-5
7084,Qwest,7,0.896,DSL,MN,MIDWEST,30,-6,-5
7086,Cox,1,0.384,CABLE,AZ,WEST,18,-7,-7
7087,TimeWarner,10,1,CABLE,CA,WEST,19,-8,-7
7088,TimeWarner,10,1,CABLE,NC,SOUTH,30,-5,-4
7090,Mediacom,12,1,CABLE,az,WEST,30,-7,-7
7091,CenturyLink,10,0.768,DSL,PA,NORTHEAST,30,-5,-4
7096,AT&T,6,0.768,DSL,MO,MIDWEST,30,-6,-5
7097,Cox,18,5,CABLE,RI,NORTHEAST,30,-5,-4
7098,Frontier,3,0.384,DSL,MN,MIDWEST,30,-6,-5
7101,Comcast,12,2,CABLE,TN,SOUTH,30,-6,-5
7102,Cox,15,2,CABLE,AZ,WEST,30,-7,-7
7103,Qwest,7,0.896,DSL,CO,WEST,30,-7,-6
7104,Comcast,15,2,CABLE,al,SOUTH,30,-6,-5
7105,Charter,30,4,CABLE,GA,SOUTH,30,-5,-4
7106,Wildblue/ViaSat,REMOVE,REMOVE,SATELLITE,CA,WEST,10,-8,-7
7107,Cox,15,2,CABLE,ne,MIDWEST,30,-6,-5
7110,TimeWarner,50,5,CABLE,ny,NORTHEAST,9,-5,-4
7115,AT&T,24,3,DSL,TX,SOUTH,30,-6,-5
7117,Charter,15,3,CABLE,OR,WEST,30,-8,-7
7118,TimeWarner,15,1,CABLE,KY,SOUTH,30,-5,-4
7120,Qwest,12,0.896,DSL,CO,WEST,30,-7,-6
7121,Charter,30,4,CABLE,CA,WEST,30,-8,-7
7123,Comcast,15,2,CABLE,CO,WEST,30,-7,-6
7124,AT&T,12,1.5,DSL,MI,MIDWEST,30,-5,-4
7125,Qwest,5,0.896,DSL,WA,WEST,30,-8,-7
7126,Cox,25,2,CABLE,CA,WEST,30,-8,-7
7127,Frontier,3,0.384,DSL,OH,MIDWEST,30,-5,-4
7129,Qwest,1.5,0.64,DSL,ND,MIDWEST,30,-6,-5
7130,AT&T,1.5,0.384,DSL,AL,SOUTH,18,-6,-5
7132,AT&T,24,3,DSL,TX,SOUTH,29,-6,-5
7133,Cablevision,30,5,CABLE,ny,NORTHEAST,9,-5,-4
7135,Windstream,6,0.768,DSL,PA,NORTHEAST,30,-5,-4
7138,Qwest,7,0.896,DSL,MN,MIDWEST,30,-6,-5
7140,Verizon,35,35,FIBER,MD,SOUTH,30,-5,-4
7141,Comcast,15,2,CABLE,FL,SOUTH,30,-5,-4
7142,Cox,24,5,CABLE,CT,NORTHEAST,28,-6,-5
7143,Cox,15,2,CABLE,AZ,WEST,30,-7,-7
7144,Comcast,50,10,CABLE,DC,SOUTH,30,-5,-4
7145,Charter,25,3,CABLE,WI,MIDWEST,30,-6,-5
7147,Comcast,15,2,CABLE,WA,WEST,30,-8,-7
7148,TimeWarner,7,0.512,CABLE,IN,MIDWEST,30,-5,-5
7152,Qwest,5,0.896,DSL,MN,MIDWEST,30,-6,-5
7153,Verizon,35,35,FIBER,MA,NORTHEAST,24,-5,-4
7154,Charter,30,4,CABLE,LA,SOUTH,30,-6,-5
7155,AT&T,6,1,DSL,IL,MIDWEST,30,-6,-5
7156,AT&T,6,0.768,DSL,CA,WEST,30,-8,-7
7157,Comcast,3,0.768,CABLE,NC,SOUTH,30,-5,-4
7158,Qwest,20,0.896,DSL,AZ,WEST,30,-7,-7
7159,AT&T,6,0.768,DSL,IN,MIDWEST,30,-5,-5
7160,Cox,3,0.768,CABLE,KS,MIDWEST,30,-6,-5
7162,Verizon,10,2,FIBER,MD,SOUTH,30,-5,-4
7164,AT&T,3,0.512,DSL,CT,NORTHEAST,29,-5,-4
7166,TimeWarner,15,1,CABLE,IN,MIDWEST,30,-5,-5
7168,Charter,30,4,CABLE,TN,SOUTH,30,-5,-4
7169,Cox,25,2,CABLE,CA,WEST,30,-8,-7
7173,Cablevision,15,2,CABLE,NY,NORTHEAST,30,-5,-4
7174,TimeWarner,10,1,CABLE,TX,SOUTH,3,-6,-5
7175,Verizon DSL,1,0.384,DSL,CA,WEST,28,-8,-7
7178,AT&T,6,0.768,DSL,NV,WEST,30,-8,-7
7179,AT&T,3,0.512,DSL,TX,SOUTH,30,-7,-6
7180,TimeWarner,10,1,CABLE,CA,WEST,30,-8,-7
7181,TimeWarner,10,1,CABLE,TX,SOUTH,30,-6,-5
7183,Charter,15,3,CABLE,GA,SOUTH,30,-5,-4
7184,Charter,30,4,CABLE,CA,WEST,18,-8,-7
7185,Cablevision,50,8,CABLE,NY,NORTHEAST,30,-5,-4
7187,Cox,22,5,CABLE,AZ,WEST,30,-7,-7
7188,Comcast,25,4,CABLE,OR,WEST,30,-8,-7
7192,Windstream,3,0.768,DSL,OH,MIDWEST,29,-5,-4
7194,Verizon,25,25,FIBER,NJ,NORTHEAST,30,-5,-4
7196,Cox,2,5,CABLE,AZ,WEST,30,-7,-7
7200,Charter,30,4,CABLE,Nc,SOUTH,29,-5,-4
7201,Frontier,25,25,FIBER,IN,MIDWEST,30,-5,-5
7209,AT&T,3,0.512,DSL,CA,WEST,30,-8,-7
7211,Cox,3,0.768,CABLE,AZ,WEST,30,-7,-7
7213,Comcast,15,2,CABLE,NM,WEST,30,-7,-6
7214,Verizon,35,35,FIBER,MA,NORTHEAST,30,-5,-4
7215,Qwest,7,0.896,DSL,AZ,WEST,30,-7,-7
7217,Comcast,15,2,CABLE,IL,MIDWEST,30,-6,-5
7219,Comcast,15,2,CABLE,TX,SOUTH,30,-6,-5
7220,Verizon,35,35,FIBER,VA,SOUTH,30,-5,-4
