Unit ID,ISP,Technology,Download,Upload,timezone_offset,timezone_offset_dst,STATE,REGION
7713,Miscellaneous,REMOVE,MISC,MISC,-7,-7,AZ,WEST
7749,Qwest,DSL,12,0.896,-7,-7,AZ,WEST
7795,Qwest,DSL,20,0.896,-7,-7,AZ,WEST
7796,Cox,CABLE,50,5,-7,-7,AZ,WEST
7797,Cox,CABLE,50,5,-7,-7,AZ,WEST
7805,Comcast,CABLE,50,10,-6,-5,AZ,WEST
7866,Cox,CABLE,50,5,-7,-7,AZ,WEST
7899,Frontier,REMOVE,REMOVE,REMOVE,-7,-7,AZ,WEST
7933,Cox,CABLE,5,1,-7,-7,AZ,WEST
7943,Qwest,DSL,20,0.896,-7,-7,AZ,WEST
7995,Cox,CABLE,25,5,-7,-7,AZ,WEST
8078,CenturyLink,DSL,10,0.768,-7,-7,AZ,WEST
8134,Time Warner Cable,CABLE,15,1,-6,-5,AZ,WEST
8190,Cox,CABLE,50,5,-7,-7,AZ,WEST
8194,Comcast,REMOVE,REMOVE,REMOVE,-7,-7,AZ,WEST
8255,Qwest,DSL,12,0.896,-7,-7,AZ,WEST
8291,Qwest,DSL,3,0.64,-7,-7,AZ,WEST
8293,Cox,CABLE,50,5,-7,-7,AZ,WEST
8302,Cox,CABLE,100,10,-7,-7,AZ,WEST
8356,Qwest,DSL,12,5,-7,-7,AZ,WEST
8368,Qwest,DSL,40,5,-7,-7,AZ,WEST
8430,Cox,CABLE,100,10,-7,-7,AZ,WEST
8465,Cox,CABLE,100,10,-7,-7,AZ,WEST
8471,Cox,CABLE,100,10,-7,-7,AZ,WEST
8475,Cox,CABLE,100,10,-7,-7,AZ,WEST
8530,Cox,CABLE,50,5,-6,-5,AZ,WEST
8625,Cox,CABLE,50,5,-7,-7,AZ,WEST
8648,Qwest,DSL,12,0.896,-7,-7,AZ,WEST
8733,Miscellaneous,REMOVE,MISC,MISC,-6,-5,AZ,WEST
8841,Miscellaneous,REMOVE,MISC,MISC,-7,-7,AZ,WEST
8843,Cox,CABLE,50,5,-7,-7,AZ,WEST
