Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,WB Model,Whitebox can support download speed,Whitebox can support upload speed
615258,CenturyLink,DSL,CO,West,-7 hr,-6 hr,20,,,2,WR741NDv4,Yes,Yes
797788,CenturyLink,DSL,MN,Midwest,-6 hr,-5 hr,20,,,0.896,WR741NDv4,Yes,Yes
999411,AT&T,IPBB,LA,South,-6 hr,-5 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
27732,Charter,Cable,OH,Midwest,-5 hr,-4 hr,20,,,2,WR741ND,Yes,Yes
234276,CenturyLink,DSL,AZ,West,-7 hr,-6 hr,20,,,0.896,WR741NDv4,Yes,Yes
999379,AT&T,IPBB,OH,Midwest,-5 hr,-4 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
8884,CenturyLink,DSL,CO,West,-7 hr,-6 hr,10,,,0.768,WNR3500L,Yes,Yes
615366,Hughes,Satellite,WI,Midwest,-6 hr,-5 hr,10,,,1,WR741NDv4,Yes,Yes
233006,CenturyLink,DSL,WA,West,-8 hr,-7 hr,20,,,5,WR741NDv4,Yes,Yes
901808,CenturyLink,DSL,NC,South,-5 hr,-4 hr,20,,,2,WR1043ND,Yes,Yes
1000972,Frontier ,Fiber,TX,South,-6 hr,-5 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
7097,Cox,Cable,RI,Northeast,-5 hr,-4 hr,25,,,5,WNR3500L,Yes,Yes
805178,AT&T,IPBB,MO,Midwest,-6 hr,-5 hr,18,,,1.5,WR741NDv4,Yes,Yes
994669,AT&T,IPBB,NV,West,-8 hr,-7 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
939188,Hughes,Satellite,WA,West,-8 hr,-7 hr,10,,,1,AC1750v2,Yes,Yes
7460,AT&T,IPBB,IL,Midwest,-6 hr,-5 hr,18,,,1.5,WNR3500L,Yes,Yes
941608,Hughes,Satellite,VA,South,-5 hr,-4 hr,10,,,1,AC1750v2,Yes,Yes
994205,AT&T,IPBB,OH,Midwest,-5 hr,-4 hr,18,,,1.5,SK Whitebox 8.0,Yes,Yes
6741,CenturyLink,DSL,MN,Midwest,-6 hr,-5 hr,20,,,0.896,WNR3500L,Yes,Yes
942590,Hughes,Satellite,CA,West,-8 hr,-7 hr,25,,,3,AC1750v2,Yes,Yes
999011,Hughes,Satellite,MN,Midwest,-6 hr,-5 hr,25,,,3,SK Whitebox 8.0,Yes,Yes
1006276,CenturyLink,DSL,AZ,West,-7 hr,-7 hr,20,,,5,SK Whitebox 8.0,Yes,Yes
941610,Hughes,Satellite,WA,West,-8 hr,-7 hr,10,,,1,AC1750v2,Yes,Yes
999095,AT&T,IPBB,WI,Midwest,-6 hr,-5 hr,24,,,3,SK Whitebox 8.0,Yes,Yes
805080,AT&T,IPBB,GA,South,-5 hr,-4 hr,18,,,1.5,WR741NDv4,Yes,Yes
945144,Hughes,Satellite,WI,Midwest,-6 hr,-5 hr,10,,,1,AC1750v2,Yes,Yes
6375,Cox,Cable,LA,South,-6 hr,-5 hr,25,,,5,WNR3500L,Yes,Yes
1000055,AT&T,IPBB,NC,South,-5 hr,-4 hr,18,,,1,SK Whitebox 8.0,Yes,Yes
7207,AT&T,IPBB,OH,Midwest,-5 hr,-4 hr,18,,,1.5,WNR3500L,Yes,Yes
