Unit ID,ISP,Technology,STATE,CENSUS,timezone_offset,timezone_offset_dst,Download,Upload
214606,AT&T,UVERSE,TX,SOUTH,-6,-5,45,6
214686,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
215078,AT&T,UVERSE,KY,SOUTH,-5,-5,18,1.5
215248,AT&T,UVERSE,OH,MIDWEST,-5,-5,18,1.5
215642,AT&T,UVERSE,CA,WEST,-8,-7,12,1.5
215698,AT&T,UVERSE,CA,WEST,-8,-7,6,1
215720,AT&T,UVERSE,TN,SOUTH,-6,-5,6,1
215734,AT&T,REMOVE,NC,SOUTH,-5,-4,REMOVE,REMOVE
216054,AT&T,UVERSE,KS,MIDWEST,-6,-5,6,0.768
216078,AT&T,UVERSE,OH,MIDWEST,-5,-4,45,6
216146,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
216712,AT&T,UVERSE,MI,MIDWEST,-5,-4,18,1.5
216748,AT&T,UVERSE,CA,WEST,-8,-7,24,3
217190,AT&T,UVERSE,IN,MIDWEST,-5,-5,12,1.5
217212,AT&T,DSL,MI,MIDWEST,-5,-5,6,0.512
217753,AT&T,UVERSE,AR,SOUTH,-6,-5,24,3
217771,AT&T,UVERSE,MO,MIDWEST,-6,-5,12,1.5
222089,AT&T,UVERSE,IL,MIDWEST,-6,-5,45,6
222095,AT&T,UVERSE,MI,MIDWEST,-5,-5,12,1.5
232392,AT&T,UVERSE,FL,SOUTH,-6,-5,18,1.5
232464,AT&T,UVERSE,IN,MIDWEST,-5,-5,6,0.768
232472,AT&T,DSL,IN,MIDWEST,-6,-5,0.768,0.384
234154,AT&T,UVERSE,MI,MIDWEST,-5,-5,18,1.5
241881,AT&T,UVERSE,TN,SOUTH,-6,-5,18,1.5
243236,AT&T,UVERSE,TX,SOUTH,-6,-5,6,1
248156,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
257772,AT&T,UVERSE,KS,MIDWEST,-6,-5,45,6
421806,AT&T,UVERSE,OH,MIDWEST,-5,-4,12,1.5
533164,AT&T,UVERSE,KS,MIDWEST,-6,-5,12,1.5
539340,AT&T,DSL,TX,SOUTH,-6,-5,3,0.384
589712,AT&T,UVERSE,NY,NORTHEAST,-5,-4,18,1.5
599780,AT&T,UVERSE,NC,SOUTH,-5,-4,6,0.768
599786,AT&T,UVERSE,GA,SOUTH,-5,-4,18,1.5
599794,AT&T,DSL,GA,SOUTH,-5,-4,6,0.512
599798,AT&T,UVERSE,FL,SOUTH,-5,-4,45,6
599802,AT&T,UVERSE,FL,SOUTH,-5,-4,18,1.5
599820,AT&T,UVERSE,OH,MIDWEST,-5,-4,18,1.5
599838,AT&T,UVERSE,IL,MIDWEST,-6,-5,12,1.5
599844,AT&T,UVERSE,MO,MIDWEST,-6,-5,24,3
599846,AT&T,UVERSE,MO,MIDWEST,-6,-5,12,1.5
599872,AT&T,UVERSE,OK,SOUTH,-6,-5,45,6
599916,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
600886,AT&T,UVERSE,NC,SOUTH,-5,-4,18,1.5
605662,AT&T,UVERSE,AL,SOUTH,-6,-5,6,0.768
605680,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
606890,AT&T,UVERSE,CA,WEST,-8,-7,18,1.5
614034,AT&T,UVERSE,GA,SOUTH,-5,-4,3,0.512
614048,AT&T,UVERSE,FL,SOUTH,-5,-4,45,6
614130,AT&T,UVERSE,TX,SOUTH,-6,-5,18,1.5
