Unit ID,ISP,STATUS,Download,Upload,timezone_offset,timezone_offset_dst,STATE,REGION,Technology
14654,AT&T,VALID DATA,12,1.5,-6,-5,MO,MIDWEST,DSL
9117,AT&T,VALID DATA,12,1,-8,-7,CA,WEST,DSL
5717,AT&T,VALID DATA,12,1.5,-5,-4,OH,MIDWEST,DSL
9639,AT&T,VALID DATA,12,1.5,-5,-4,NC,SOUTH,DSL
5971,AT&T,VALID DATA,12,1.5,-6,-5,IL,MIDWEST,DSL
6548,AT&T,VALID DATA,12,1,-6,-5,WI,MIDWEST,DSL
26904,AT&T,VALID DATA,12,1.5,-5,-4,NC,SOUTH,DSL
11080,AT&T,VALID DATA,12,1,-6,-5,CT,NORTHEAST,DSL
207336,AT&T,VALID DATA,12,1.5,-6,-5,TX,SOUTH,DSL
8051,AT&T,VALID DATA,12,1,-5,-4,GA,SOUTH,DSL
9598,AT&T,VALID DATA,12,1,-6,-5,TX,SOUTH,DSL
7336,AT&T,VALID DATA,12,1,-5,-4,GA,SOUTH,DSL
27576,AT&T,VALID DATA,12,1.5,-6,-5,IL,MIDWEST,DSL
12693,AT&T,VALID DATA,12,1,-8,-7,CA,WEST,DSL
8329,AT&T,VALID DATA,12,1.5,-6,-5,TX,SOUTH,DSL
6440,AT&T,VALID DATA,12,1,-6,-5,TX,SOUTH,DSL
11239,AT&T,VALID DATA,12,1,-6,-5,MO,MIDWEST,DSL
12931,AT&T,VALID DATA,12,1,-8,-7,CA,WEST,DSL
7677,AT&T,VALID DATA,12,1,-6,-5,IL,MIDWEST,DSL
7826,AT&T,VALID DATA,12,1.5,-5,-4,GA,SOUTH,DSL
7554,AT&T,VALID DATA,12,1.5,-5,-4,MI,MIDWEST,DSL
6488,AT&T,VALID DATA,12,1.5,-5,-4,OH,MIDWEST,DSL
10442,AT&T,VALID DATA,12,1,-5,-4,OH,MIDWEST,DSL
210450,AT&T,VALID DATA,12,1,-8,-7,CA,WEST,DSL
