Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,Whitebox Model
3708741,Frontier,DSL,TX,South,-5,-4,3,3,3,0.384,SK Whitebox 8.0
3708745,Frontier,DSL,TX,South,-5,-4,3,3,3,0.384,SK Whitebox 8.0
3708753,Frontier,Fiber,CA,West,-5,-4,150,150,150,150,SK Whitebox 8.0
3708757,Frontier,Fiber,TX,South,-5,-4,150,150,150,150,SK Whitebox 8.0
3708761,Frontier,DSL,TX,South,-5,-4,3,3,3,0.384,SK Whitebox 8.0
3708765,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
3708769,Frontier,Fiber,CA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3766933,Optimum,Cable,CT,Northeast,-5,-4,200,200,200,35,SK Whitebox 8.0
3766937,Optimum,Cable,NY,Northeast,-5,-4,200,200,200,35,SK Whitebox 8.0
3766941,Frontier,Fiber,TX,South,-5,-4,100,100,100,100,SK Whitebox 8.0
3766945,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
3766953,Frontier,Fiber,FL,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3766957,Frontier,Fiber,CA,West,-5,-4,100,100,100,100,SK Whitebox 8.0
3766965,Frontier,Fiber,TX,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3766973,Frontier,Fiber,CA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3766981,Frontier,Fiber,TX,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3766989,Frontier,Fiber,CA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3766993,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
3767001,Optimum,Cable,NY,Northeast,-5,-4,200,200,200,35,SK Whitebox 8.0
3767005,Frontier,DSL,CT,Northeast,-5,-4,12,12,12,1.5,SK Whitebox 8.0
3767021,Frontier,DSL,PA,Northeast,-5,-4,12,12,12,1,SK Whitebox 8.0
3767029,Frontier,DSL,IN,Midwest,-5,-4,24,24,24,1,SK Whitebox 8.0
3767033,Frontier,DSL,WA,West,-5,-4,24,24,24,1,SK Whitebox 8.0
3767037,Frontier,Fiber,FL,South,-5,-4,100,100,100,100,SK Whitebox 8.0
3767065,Optimum,Cable,NY,Northeast,-5,-4,100,100,100,35,SK Whitebox 8.0
3767073,Optimum,Cable,NY,Northeast,-5,-4,100,100,100,35,SK Whitebox 8.0
3767077,Frontier,DSL,MN,Midwest,-5,-4,12,12,12,2,SK Whitebox 8.0
3767081,Frontier,Fiber,CA,West,-5,-4,75,75,75,75,SK Whitebox 8.0
3767089,Frontier,DSL,CA,West,-5,-4,18,18,18,1.5,SK Whitebox 8.0
3767101,Frontier,DSL,CT,Northeast,-5,-4,6,6,6,0.768,SK Whitebox 8.0
3767105,Optimum,Cable,NY,Northeast,-5,-4,100,100,100,35,SK Whitebox 8.0
3767113,Verizon,Fiber,RI,Northeast,-5,-4,100,100,100,100,SK Whitebox 8.0
3767129,Frontier,Fiber,FL,South,-5,-4,75,75,75,75,SK Whitebox 8.0
3767133,Frontier,Fiber,TX,South,-5,-4,75,75,75,75,SK Whitebox 8.0
